[938, 'incorrect_immediate_operand', '040000', 34446, 'decode.imm_hi_out']
[939, 'incorrect_immediate_operand', '080000', 34446, 'decode.imm_hi_out']
[940, 'incorrect_immediate_operand', '100000', 34446, 'decode.imm_hi_out']
[941, 'incorrect_immediate_operand', '200000', 34446, 'decode.imm_hi_out']
[948, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[949, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[950, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[951, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[953, 'incorrect_immediate_operand', '000400', 34446, 'decode.imm_hi_out']
[954, 'incorrect_immediate_operand', '000400', 34446, 'decode.imm_hi_out']
[955, 'incorrect_immediate_operand', '000200', 34446, 'decode.imm_hi_out']
[956, 'incorrect_immediate_operand', '000200', 34446, 'decode.imm_hi_out']
[957, 'incorrect_immediate_operand', '000100', 34446, 'decode.imm_hi_out']
[958, 'incorrect_immediate_operand', '000100', 34446, 'decode.imm_hi_out']
[959, 'incorrect_immediate_operand', '008000', 34446, 'decode.imm_hi_out']
[960, 'incorrect_immediate_operand', '008000', 34446, 'decode.imm_hi_out']
[981, 'invalid_register', '0000000f', 34446, 'decode.src2_out']
[983, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[984, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[1011, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[1019, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1020, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1021, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[1022, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1023, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1024, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1025, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1026, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1030, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1031, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1032, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1033, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1034, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1059, 'incorrect_immediate_operand', '001006', 34446, 'decode.imm_hi_out']
[1061, 'invalid_register', '0000000f', 34446, 'decode.src2_out']
[1062, 'invalid_register', '0000000f', 34446, 'decode.src2_out']
[1063, 'invalid_register', '0000000f', 34446, 'decode.src2_out']
[1067, 'incorrect_immediate_operand', '102000', 34446, 'decode.imm_hi_out']
[1070, 'incorrect_immediate_operand', '004018', 34446, 'decode.imm_hi_out']
[1074, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[1075, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[1076, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[1077, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[1078, 'invalid_register', '0000000f', 34446, 'decode.src2_out', '0000000f', 34446, 'decode.src3_out']
[1079, 'invalid_register', '0000000f', 34446, 'decode.src2_out', '0000000f', 34446, 'decode.src3_out']
[1080, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[1081, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[1086, 'invalid_register', '00000001', 34446, 'decode.src1_out', '00000001', 34446, 'decode.dest_out']
[1088, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[1088, 'incorrect_immediate_operand', '230001', 34446, 'decode.imm_hi_out']
[1090, 'invalid_register', '00000001', 34446, 'decode.src1_out', '00000001', 34446, 'decode.dest_out']
[1091, 'invalid_register', '00000001', 34446, 'decode.src1_out', '00000001', 34446, 'decode.dest_out']
[1092, 'invalid_register', '00000001', 34446, 'decode.src1_out', '00000001', 34446, 'decode.dest_out']
[1127, 'incorrect_register_addressed', '001', 34446, 'decode.gprs_base_addr_out']
[1128, 'incorrect_register_addressed', '002', 34446, 'decode.gprs_base_addr_out']
[1129, 'incorrect_register_addressed', '004', 34446, 'decode.gprs_base_addr_out']
[1130, 'incorrect_register_addressed', '008', 34446, 'decode.gprs_base_addr_out']
[1131, 'incorrect_register_addressed', '010', 34446, 'decode.gprs_base_addr_out']
[1132, 'incorrect_register_addressed', '020', 34446, 'decode.gprs_base_addr_out']
[1133, 'incorrect_register_addressed', '040', 34446, 'decode.gprs_base_addr_out']
[1134, 'incorrect_register_addressed', '080', 34446, 'decode.gprs_base_addr_out']
[1135, 'incorrect_register_addressed', '100', 34446, 'decode.gprs_base_addr_out']
[1136, 'incorrect_parallel_parameters', '008', 34446, 'decode.gprs_size_out']
[1137, 'incorrect_parallel_parameters', '008', 34446, 'decode.gprs_size_out']
[1138, 'incorrect_parallel_parameters', '001', 34446, 'decode.gprs_size_out']
[1139, 'incorrect_parallel_parameters', '002', 34446, 'decode.gprs_size_out']
[1140, 'incorrect_parallel_parameters', '004', 34446, 'decode.gprs_size_out']
[1141, 'incorrect_parallel_parameters', '010', 34446, 'decode.gprs_size_out']
[1142, 'incorrect_parallel_parameters', '020', 34446, 'decode.gprs_size_out']
[1143, 'incorrect_parallel_parameters', '040', 34446, 'decode.gprs_size_out']
[1144, 'incorrect_parallel_parameters', '080', 34446, 'decode.gprs_size_out']
[1145, 'incorrect_parallel_parameters', '100', 34446, 'decode.gprs_size_out']
[1146, 'incorrect_parallel_parameters', '0001', 34446, 'decode.shmem_base_addr_out']
[1147, 'incorrect_parallel_parameters', '0002', 34446, 'decode.shmem_base_addr_out']
[1148, 'incorrect_parallel_parameters', '0004', 34446, 'decode.shmem_base_addr_out']
[1149, 'incorrect_parallel_parameters', '0008', 34446, 'decode.shmem_base_addr_out']
[1150, 'incorrect_parallel_parameters', '0010', 34446, 'decode.shmem_base_addr_out']
[1151, 'incorrect_parallel_parameters', '0020', 34446, 'decode.shmem_base_addr_out']
[1152, 'incorrect_parallel_parameters', '0040', 34446, 'decode.shmem_base_addr_out']
[1153, 'incorrect_parallel_parameters', '0080', 34446, 'decode.shmem_base_addr_out']
[1154, 'incorrect_parallel_parameters', '0100', 34446, 'decode.shmem_base_addr_out']
[1155, 'incorrect_parallel_parameters', '0200', 34446, 'decode.shmem_base_addr_out']
[1156, 'incorrect_parallel_parameters', '0400', 34446, 'decode.shmem_base_addr_out']
[1157, 'incorrect_parallel_parameters', '0800', 34446, 'decode.shmem_base_addr_out']
[1158, 'incorrect_parallel_parameters', '1000', 34446, 'decode.shmem_base_addr_out']
[1159, 'incorrect_parallel_parameters', '2000', 34446, 'decode.shmem_base_addr_out']
[1311, 'incorrect_immediate_operand', '000b0e', 34446, 'decode.imm_hi_out']
[1323, 'invalid_register', '00000001', 34446, 'decode.src1_out', '00000001', 34446, 'decode.dest_out']
[1323, 'incorrect_immediate_operand', '008f1e', 34446, 'decode.imm_hi_out']
[1323, 'incorrect_parallel_parameters', '008', 34446, 'decode.gprs_size_out']
