[34376, '.4......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.8......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.8......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '1.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '2.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '2.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '4.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '8.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '8.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34386, '........', '..', '.', '.', '........', '....', '...', '..1', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..1', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..1', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..2', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..2', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..2', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..2', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..2', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..4', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..4', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..4', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..4', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..4', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..4', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..4', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34386, '........', '..', '.', '.', '........', '....', '...', '.1.', '..']
