00BA0 000874A3
00BA4 001600AC
00BA8 00070ADA
00BAC 0003F973
00BB0 002A21A8
00BB4 002441D1
00BB8 000045B7
00BBC 0036325E
00BC0 003168FB
00BC4 00330E65
00BC8 001C04DC
00BCC 001A76E3
00BD0 001635EA
00BD4 00281A74
00BD8 000F04A3
00BDC 001136F5
00BE0 0030C228
00BE4 0003DAC0
00BE8 00258242
00BEC 001CE26C
00BF0 001126AC
00BF4 00265359
00BF8 00319169
00BFC 00496C1F
00C00 0048DFAB
00C04 00434693
00C08 004AAF5A
00C0C 002D7B31
00C10 00230EDD
00C14 002FD684
00C18 001B9900
00C1C 001F04BA
00C20 002BC617
00C24 00363E90
00C28 0026B0A0
00C2C 00027DEB
00C30 00134F73
00C34 0000AE0B
00C38 0021E262
00C3C 000DECAC
00C40 000C3BD8
00C44 0004C5E5
00C48 000DDF96
00C4C 00183AFE
00C50 00082DA3
00C54 003E399C
00C58 001A1549
00C5C 000F62F0
00C60 00076F45
00C64 001347BA
00C68 001B6522
00C6C 004B4E01
00C70 0037C8EC
00C74 001D5B85
00C78 00441CF7
00C7C 0000A19C
00C80 0033D829
00C84 004AC196
00C88 00295CDC
00C8C 002A0D02
00C90 00083CF0
00C94 003BC0DD
00C98 001B6533
00C9C 0047A5E3
00CA0 00064000
00CA4 002A5D8E
00CA8 0026AB73
00CAC 00443A67
00CB0 0005C214
00CB4 00098183
00CB8 0033B4D1
00CBC 000BCC21
00CC0 000406E7
00CC4 0049137F
00CC8 00186672
00CCC 0006BF99
00CD0 003F15AB
00CD4 0026735E
00CD8 001A5EE7
00CDC 0022CB31
00CE0 0015AD79
00CE4 0018F557
00CE8 0048D4E9
00CEC 00000F79
00CF0 002FFE19
00CF4 0011C40C
00CF8 002FB480
00CFC 001AB125
00D00 0007A2E1
00D04 0047215E
00D08 0019F412
00D0C 002E3790
00D10 00457D91
00D14 000D1435
00D18 00155A82
00D1C 00274B50
00D20 00456755
00D24 00473268
00D28 00144324
00D2C 002FD1AC
00D30 0024833D
00D34 003D8BE1
00D38 000B30BA
00D3C 0035195C
00D40 0045D1E3
00D44 00251D8B
00D48 00396923
00D4C 0015DF98
00D50 00311110
00D54 002B00D8
00D58 001BA4E5
00D5C 0048F224
00D60 00371276
00D64 00020AB7
00D68 0007AB5D
00D6C 00399393
00D70 0026BE2E
00D74 000FB9EE
00D78 003F4833
00D7C 00328801
00D80 0017FB3D
00D84 0039B7A9
00D88 000CC522
00D8C 0042882F
00D90 00324A9B
00D94 0012254F
00D98 0049F01F
00D9C 003C0FFC
00DA0 0008D98A
00DA4 000A3C44
00DA8 00157FF8
00DAC 00206EAC
00DB0 0046A609
00DB4 000B818E
00DB8 004AE359
00DBC 000C1B8A
00DC0 002364D5
00DC4 00059A0B
00DC8 0004DA1C
00DCC 000C1391
00DD0 001C9685
00DD4 001BC78F
00DD8 00168767
00DDC 003D4A82
00DE0 003E6528
00DE4 00191222
00DE8 00255F4A
00DEC 002D5472
00DF0 003561D1
00DF4 0019DF65
00DF8 00313EFF
00DFC 001DD007
00E00 00073358
00E04 0041848E
00E08 0015757D
00E0C 0024024D
00E10 000108E4
00E14 00272702
00E18 0023B95D
00E1C 0009F070
00E20 00220694
00E24 003D8207
00E28 001B1258
00E2C 0016B6AB
00E30 002BDE58
00E34 000D1FD0
00E38 000D2750
00E3C 0042701B
00E40 001D4293
00E44 003560BA
00E48 000140FA
00E4C 001C548C
00E50 004BA981
00E54 000EB26E
00E58 003C7E59
00E5C 0036F947
00E60 0044ADAD
00E64 000221B9
00E68 00245458
00E6C 004B696A
00E70 00468FA6
00E74 00150A5C
00E78 00237795
00E7C 0003D075
00E80 0017F5DB
00E84 0042B898
00E88 003CB11D
00E8C 004B9053
00E90 001D9818
00E94 0031EC37
00E98 00484D4A
00E9C 002B1551
00EA0 00401C86
00EA4 0046DB9F
00EA8 0015B64E
00EAC 0022906D
00EB0 001D504A
00EB4 001E87D8
00EB8 002C8A3B
00EBC 001BCFCB
00EC0 00436AD6
00EC4 002C665C
00EC8 00299E36
00ECC 0024FF9A
00ED0 00319EB7
00ED4 003B22C2
00ED8 00457BE0
00EDC 0049E8E1
00EE0 00281086
00EE4 002EA480
00EE8 000A90CD
00EEC 003DA75A
00EF0 0038BAFE
00EF4 0012F193
00EF8 0046F128
00EFC 002AB400
00F00 001344AF
00F04 000B2FA6
00F08 00456841
00F0C 001D1E08
00F10 0021ACBF
00F14 0021B594
00F18 002BBDAC
00F1C 001AD162
00F20 0014BCD0
00F24 0010E258
00F28 0011F0E9
00F2C 000BA424
00F30 00062E4F
00F34 0023D234
00F38 0041A025
00F3C 004B53CA
00F40 00372DCC
00F44 0009BC12
00F48 002CEBB9
00F4C 004A0BE6
00F50 002DA059
00F54 002D17D5
00F58 002A7CFB
00F5C 00409BF8
00F60 001B9F8D
00F64 000F1ED6
00F68 0039A85D
